Pid      Process              Base       InLoad InInit InMem MappedPath
     664 lsass.exe            0x4d200000 True   True   True  \WINDOWS\system32\msprivs.dll
     664 lsass.exe            0x76f60000 True   True   True  \WINDOWS\system32\wldap32.dll
     664 lsass.exe            0x77c00000 True   True   True  \WINDOWS\system32\version.dll
     664 lsass.exe            0x5ad70000 True   True   True  \WINDOWS\system32\uxtheme.dll
     664 lsass.exe            0x74380000 True   True   True  \WINDOWS\system32\wdigest.dll
     664 lsass.exe            0x774e0000 True   True   True  \WINDOWS\system32\ole32.dll
     664 lsass.exe            0x75d90000 True   True   True  \WINDOWS\system32\oakley.dll
     664 lsass.exe            0x743a0000 True   True   True  \WINDOWS\system32\pstorsvc.dll
     664 lsass.exe            0x743c0000 True   True   True  \WINDOWS\system32\psbase.dll
     664 lsass.exe            0x77dd0000 True   True   True  \WINDOWS\system32\advapi32.dll
     664 lsass.exe            0x77a80000 True   True   True  \WINDOWS\system32\crypt32.dll
     664 lsass.exe            0x743e0000 True   True   True  \WINDOWS\system32\ipsecsvc.dll
     664 lsass.exe            0x68000000 True   True   True  \WINDOWS\system32\rsaenh.dll
     664 lsass.exe            0x74440000 True   True   True  \WINDOWS\system32\samsrv.dll
     664 lsass.exe            0x71a50000 True   True   True  \WINDOWS\system32\mswsock.dll
     664 lsass.exe            0x5b860000 True   True   True  \WINDOWS\system32\netapi32.dll
     664 lsass.exe            0x767f0000 True   True   True  \WINDOWS\system32\schannel.dll
     664 lsass.exe            0x6f880000 True   True   True  \WINDOWS\AppPatch\AcGenral.dll
     664 lsass.exe            0x71a90000 True   True   True  \WINDOWS\system32\wshtcpip.dll
     664 lsass.exe            0x71ab0000 True   True   True  \WINDOWS\system32\ws2_32.dll
     664 lsass.exe            0x74370000 True   True   True  \WINDOWS\system32\winipsec.dll
     664 lsass.exe            0x767a0000 True   True   True  \WINDOWS\system32\ntdsapi.dll
     664 lsass.exe            0x77920000 True   True   True  \WINDOWS\system32\setupapi.dll
     664 lsass.exe            0x7e410000 True   True   True  \WINDOWS\system32\user32.dll
     664 lsass.exe            0x68100000 True   True   True  \WINDOWS\system32\dssenh.dll
     664 lsass.exe            0x76080000 True   True   True  \WINDOWS\system32\msvcp60.dll
     664 lsass.exe            0x77f10000 True   True   True  \WINDOWS\system32\gdi32.dll
     664 lsass.exe            0x77120000 True   True   True  \WINDOWS\system32\oleaut32.dll
     664 lsass.exe            0x71b20000 True   True   True  \WINDOWS\system32\mpr.dll
     664 lsass.exe            0x76d60000 True   True   True  \WINDOWS\system32\iphlpapi.dll
     664 lsass.exe            0x5cb70000 True   True   True  \WINDOWS\system32\shimeng.dll
     664 lsass.exe            0x767c0000 True   True   True  \WINDOWS\system32\w32time.dll
     664 lsass.exe            0x76790000 True   True   True  \WINDOWS\system32\cryptdll.dll
     664 lsass.exe            0x77e70000 True   True   True  \WINDOWS\system32\rpcrt4.dll
     664 lsass.exe            0x77c10000 True   True   True  \WINDOWS\system32\msvcrt.dll
     664 lsass.exe            0x769c0000 True   True   True  \WINDOWS\system32\userenv.dll
     664 lsass.exe            0x7c800000 True   True   True  \WINDOWS\system32\kernel32.dll
     664 lsass.exe            0x773d0000 True   True   True  \WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.5512_x-ww_35d4ce83\comctl32.dll
     664 lsass.exe            0x71bf0000 True   True   True  \WINDOWS\system32\samlib.dll
     664 lsass.exe            0x662b0000 True   True   True  \WINDOWS\system32\hnetcfg.dll
     664 lsass.exe            0x74410000 True   True   True  \WINDOWS\system32\scecli.dll
     664 lsass.exe            0x75730000 True   True   True  \WINDOWS\system32\lsasrv.dll
     664 lsass.exe            0x7c9c0000 True   True   True  \WINDOWS\system32\shell32.dll
     664 lsass.exe            0x77c70000 True   True   True  \WINDOWS\system32\msv1_0.dll
     664 lsass.exe            0x76f20000 True   True   True  \WINDOWS\system32\dnsapi.dll
     664 lsass.exe            0x5d090000 True   True   True  \WINDOWS\system32\comctl32.dll
     664 lsass.exe            0x77f60000 True   True   True  \WINDOWS\system32\shlwapi.dll
